lineID	speakerID	leftActorID	rightActorID	leftExpressionID	rightExpressionID	speakerNameKey	bodyTextKey	lineEndAction	lineEndActionValue	backgroundID	storyImageID	choiceID	clearBackground	showStoryImage	hasChoice	yesTextKey	noTextKey	yesAction	noAction	yesActionValue	noActionValue	yesNextLineID	noNextLineID	noNextLineID
prologue_b_050	karin	karin	hibiki	desperate	neutral	name_karin	prologue_b_050	None					FALSE	FALSE	FALSE									
prologue_b_051	arete	karin	arete	desperate	neutral	name_arete	prologue_b_051	None					FALSE	FALSE	FALSE									
prologue_b_052	karin	karin	hibiki	desperateShout	neutral	name_karin	prologue_b_052	None					FALSE	FALSE	FALSE									
prologue_b_053	hibiki	karin	hibiki	desperateShout	neutral	name_hibiki	prologue_b_053	None					FALSE	FALSE	FALSE									
prologue_b_054	karin	karin	hibiki	desperate	neutral	name_karin	prologue_b_054	None					FALSE	FALSE	FALSE									
prologue_b_055	hibiki	karin	hibiki	desperate	neutral	name_hibiki	prologue_b_055	None					FALSE	FALSE	FALSE									
prologue_b_056	arete	hibiki	arete	neutral	neutral	name_arete	prologue_b_056	None					FALSE	FALSE	FALSE									
prologue_b_057	hibiki	hibiki	arete	neutral	neutral	name_hibiki	prologue_b_057	None					FALSE	FALSE	FALSE									
prologue_b_058							prologue_b_058	None					FALSE	FALSE	FALSE									
prologue_b_059	karin	karin	arete	despair	neutral	name_karin	prologue_b_059	None					FALSE	FALSE	FALSE									
prologue_b_060	arete	karin	arete	despair	neutral	name_arete	prologue_b_060	None					FALSE	FALSE	FALSE									
prologue_b_061	arete	karin	arete	despair	neutral	name_arete	prologue_b_061	None					FALSE	FALSE	FALSE									
prologue_b_062	karin	karin	arete	hope	neutral	name_karin	prologue_b_062	None					FALSE	FALSE	FALSE									
prologue_b_063	karin	karin	arete	hope	neutral	name_karin	prologue_b_063	None					FALSE	FALSE	FALSE									
prologue_b_064							prologue_b_064	None					FALSE	FALSE	FALSE									
prologue_b_065	hibiki	hibiki	arete	neutral	neutral	name_hibiki	prologue_b_065	None					FALSE	FALSE	FALSE									
prologue_b_066	arete	hibiki	arete	neutral	neutral	name_arete	prologue_b_066	None					FALSE	FALSE	FALSE									
prologue_b_067	hibiki	hibiki	arete	neutral	neutral	name_hibiki	prologue_b_067	None					FALSE	FALSE	FALSE									
prologue_b_068	arete	hibiki	arete	neutral	neutral	name_arete	prologue_b_068	None					FALSE	FALSE	FALSE									
prologue_b_069	hibiki	hibiki	arete	neutral	neutral	name_hibiki	prologue_b_069	None					FALSE	FALSE	FALSE									
prologue_b_070	arete	hibiki	arete	neutral	neutral	name_arete	prologue_b_070	None					FALSE	FALSE	FALSE									
prologue_b_071							prologue_b_071	None					FALSE	FALSE	FALSE									
prologue_b_072							prologue_b_072	None					FALSE	FALSE	FALSE									
